Feature,Coefficient,Abs_Coefficient
Age,-0.59925754783821,0.59925754783821
Loan_Income_Ratio,0.4701830337358854,0.4701830337358854
InterestRate,0.45868918853707463,0.45868918853707463
MonthsEmployed,-0.33847909082672945,0.33847909082672945
EmploymentType_Unemployed,0.20081055560250355,0.20081055560250355
HasCoSigner_Yes,-0.14221789388281666,0.14221789388281666
EmploymentType_Part-time,0.12543339058251565,0.12543339058251565
HasDependents_Yes,-0.12319006694403249,0.12319006694403249
CreditScore,-0.12149016755538541,0.12149016755538541
EmploymentType_Self-employed,0.109765135208465,0.109765135208465
MaritalStatus_Married,-0.10806440950400709,0.10806440950400709
NumCreditLines,0.10173698184034503,0.10173698184034503
LoanPurpose_Home,-0.07820227354918646,0.07820227354918646
Education_PhD,-0.07472577405200942,0.07472577405200942
HasMortgage_Yes,-0.07430690476295347,0.07430690476295347
Education_Master's,-0.057722924977433754,0.057722924977433754
MaritalStatus_Single,-0.032642562265397655,0.032642562265397655
Education_High School,0.03156784108080148,0.03156784108080148
Estimated_EMI,0.030565305130251314,0.030565305130251314
LoanPurpose_Business,0.022591225880384792,0.022591225880384792
LoanTerm,0.018001375856242233,0.018001375856242233
LoanAmount,-0.015485442215517587,0.015485442215517587
Income_Group_High Income,0.01089244424485961,0.01089244424485961
EMI_Income_Ratio,-0.010673235343588643,0.010673235343588643
LoanPurpose_Other,-0.004944913373186557,0.004944913373186557
Income_Group_Medium Income,0.0035900386905946074,0.0035900386905946074
LoanPurpose_Education,-0.00040205050899465376,0.00040205050899465376
Income,-0.0003072014867090396,0.0003072014867090396
DTIRatio,0.0,0.0
